skills,interests,education,tools,experience_level,career
"MongoDB, Express.js, React, Node.js",product building,BS Computer Science,"Docker, VS Code",entry,MERN Stack Developer
"MongoDB, Node.js, React, Express.js",web development,BS Computer Science,"VS Code, npm",junior,MERN Stack Developer
"MongoDB, React","automation, product building, web development",BS Software Engineering,npm,mid,MERN Stack Developer
"MongoDB, React, Express.js",automation,BS Computer Science,Docker,entry,MERN Stack Developer
"MongoDB, Express.js, React","product building, web development",BS Software Engineering,VS Code,junior,MERN Stack Developer
"React, Node.js, MongoDB","product building, automation",BS Computer Science,"Postman, Docker, Git",entry,MERN Stack Developer
"MongoDB, Node.js, Express.js","automation, web development, product building",BS Computer Science,"npm, VS Code, Git",junior,MERN Stack Developer
"Express.js, Node.js, React, MongoDB",automation,BS Software Engineering,Git,junior,MERN Stack Developer
"Node.js, React, Express.js, MongoDB","web development, automation, product building",BS Software Engineering,Postman,entry,MERN Stack Developer
"Express.js, Node.js","product building, automation",BS Software Engineering,"npm, VS Code",junior,MEAN Stack Developer
"Express.js, MongoDB","web development, automation, product building",BS Computer Science,"npm, VS Code",senior,MEAN Stack Developer
"Angular, MongoDB","product building, automation",BS Software Engineering,Git,junior,MEAN Stack Developer
"Angular, Node.js, MongoDB, Express.js","web development, automation",BS Computer Science,"npm, Git",mid,MEAN Stack Developer
"Express.js, MongoDB, Node.js","automation, web development",BS Computer Science,"Git, Docker",entry,MEAN Stack Developer
"MongoDB, Node.js",web development,BS Software Engineering,"Git, VS Code",entry,MEAN Stack Developer
"MongoDB, Node.js","product building, web development, automation",BS Software Engineering,Git,senior,MEAN Stack Developer
"Express.js, Angular","automation, product building",BS Software Engineering,npm,senior,MEAN Stack Developer
"Angular, MongoDB",product building,BS Software Engineering,"Docker, Git",junior,MEAN Stack Developer
"Angular, Express.js, Node.js, MongoDB",web development,BS Software Engineering,"Docker, npm",junior,MEAN Stack Developer
"CSS, WordPress, PHP, MySQL, HTML","product building, automation, web development",BS Software Engineering,"Docker, Git",mid,WordPress Developer
"PHP, WordPress, CSS, HTML, MySQL","product building, web development, automation",BS Computer Science,Docker,mid,WordPress Developer
"WordPress, PHP, MySQL, HTML, CSS",web development,BS Computer Science,"VS Code, Postman, npm",entry,WordPress Developer
"MySQL, PHP, CSS, WordPress, HTML","product building, web development, automation",BS Computer Science,Git,junior,WordPress Developer
"PHP, WordPress, MySQL, CSS, HTML","automation, web development",BS Computer Science,"Docker, VS Code",entry,WordPress Developer
"PHP, CSS, WordPress","product building, web development, automation",BS Software Engineering,"Git, VS Code, Docker",mid,WordPress Developer
"PHP, HTML, MySQL","automation, product building",BS Computer Science,"Postman, VS Code, Git",junior,WordPress Developer
"MySQL, CSS, WordPress, HTML","web development, product building, automation",BS Computer Science,"VS Code, Docker, Postman",entry,WordPress Developer
"PHP, MySQL, HTML, WordPress",product building,BS Software Engineering,Git,mid,WordPress Developer
"WordPress, MySQL, CSS, HTML","web development, product building, automation",BS Computer Science,"Git, Postman, Docker",senior,WordPress Developer
"HTML, CSS, Liquid, JavaScript",product building,BS Computer Science,npm,entry,Shopify Developer
"JavaScript, Shopify, Liquid","web development, automation",BS Software Engineering,npm,junior,Shopify Developer
"Shopify, CSS, Liquid, JavaScript, HTML","automation, web development",BS Software Engineering,Git,entry,Shopify Developer
"Liquid, CSS, HTML, JavaScript","product building, automation, web development",BS Computer Science,npm,senior,Shopify Developer
"Shopify, JavaScript, CSS","web development, product building",BS Software Engineering,Git,entry,Shopify Developer
"Liquid, JavaScript, Shopify","web development, product building",BS Software Engineering,"npm, VS Code",entry,Shopify Developer
"CSS, HTML, Shopify, Liquid, JavaScript","web development, product building",BS Computer Science,"npm, Postman",mid,Shopify Developer
"JavaScript, Shopify, HTML","automation, web development, product building",BS Software Engineering,"npm, Docker, VS Code",entry,Shopify Developer
"CSS, HTML, JavaScript, Liquid","web development, product building, automation",BS Computer Science,"Git, Docker",entry,Shopify Developer
"Liquid, CSS, Shopify, JavaScript",web development,BS Software Engineering,npm,junior,Shopify Developer
"MySQL, JavaScript, Magento",product building,BS Software Engineering,"VS Code, Postman, npm",senior,Magento Developer
"JavaScript, Magento","web development, automation",BS Computer Science,Postman,entry,Magento Developer
"MySQL, PHP, JavaScript","automation, product building",BS Software Engineering,Docker,mid,Magento Developer
"PHP, MySQL, JavaScript",product building,BS Software Engineering,"Docker, Git, VS Code",senior,Magento Developer
"MySQL, Magento, PHP","product building, automation",BS Software Engineering,"Git, Docker, Postman",mid,Magento Developer
"JavaScript, PHP, MySQL, Magento","automation, web development, product building",BS Software Engineering,npm,senior,Magento Developer
"MySQL, Magento, JavaScript, PHP","automation, product building",BS Computer Science,"Postman, Git, npm",junior,Magento Developer
"Magento, JavaScript",product building,BS Computer Science,"Docker, VS Code",mid,Magento Developer
"JavaScript, MySQL, Magento","web development, automation, product building",BS Software Engineering,"npm, Docker, Postman",mid,Magento Developer
"PHP, JavaScript, Magento","web development, product building",BS Computer Science,Postman,junior,Magento Developer
"PHP, HTML","product building, web development, automation",BS Software Engineering,Docker,entry,Drupal Developer
"MySQL, HTML","automation, product building",BS Software Engineering,"VS Code, npm",mid,Drupal Developer
"HTML, PHP","automation, product building, web development",BS Computer Science,"VS Code, Postman, Docker",entry,Drupal Developer
"Drupal, PHP, MySQL","product building, automation, web development",BS Software Engineering,Docker,junior,Drupal Developer
"HTML, MySQL","automation, web development",BS Computer Science,"npm, VS Code, Docker",senior,Drupal Developer
"HTML, MySQL, Drupal","automation, web development, product building",BS Computer Science,"Postman, npm, VS Code",mid,Drupal Developer
"MySQL, Drupal, HTML, PHP",product building,BS Computer Science,"VS Code, Docker, Postman",mid,Drupal Developer
"Drupal, HTML, PHP, MySQL","product building, automation, web development",BS Software Engineering,"Postman, VS Code",senior,Drupal Developer
"HTML, Drupal","automation, web development, product building",BS Computer Science,"Git, npm, VS Code",mid,Drupal Developer
"Drupal, HTML, MySQL",product building,BS Software Engineering,"npm, Docker, Postman",junior,Drupal Developer
"WooCommerce, CSS, WordPress",product building,BS Software Engineering,Docker,junior,WooCommerce Developer
"WordPress, CSS, WooCommerce","product building, automation, web development",BS Software Engineering,"Git, Postman",junior,WooCommerce Developer
"PHP, WordPress, WooCommerce, CSS",automation,BS Computer Science,"Docker, Postman, VS Code",mid,WooCommerce Developer
"WooCommerce, WordPress, CSS","automation, product building, web development",BS Computer Science,VS Code,mid,WooCommerce Developer
"PHP, WooCommerce, WordPress","product building, automation",BS Computer Science,npm,entry,WooCommerce Developer
"WooCommerce, PHP",web development,BS Computer Science,"Postman, Docker, Git",mid,WooCommerce Developer
"WordPress, WooCommerce, PHP, CSS","web development, automation, product building",BS Computer Science,"Git, npm, Docker",senior,WooCommerce Developer
"PHP, WooCommerce","web development, automation, product building",BS Software Engineering,"Git, VS Code",junior,WooCommerce Developer
"WordPress, PHP, CSS","web development, automation",BS Software Engineering,Postman,junior,WooCommerce Developer
"WooCommerce, CSS, PHP","web development, automation",BS Software Engineering,npm,mid,WooCommerce Developer
"Webflow, JavaScript","automation, product building, web development",BS Computer Science,"Git, Postman, Docker",junior,Webflow Developer
"CSS, HTML, JavaScript",web development,BS Computer Science,VS Code,mid,Webflow Developer
"CSS, HTML, Webflow, JavaScript",web development,BS Computer Science,"Docker, VS Code, Postman",senior,Webflow Developer
"CSS, JavaScript, Webflow, HTML","web development, automation",BS Software Engineering,"npm, VS Code",senior,Webflow Developer
"JavaScript, HTML, Webflow, CSS",automation,BS Computer Science,Git,senior,Webflow Developer
"JavaScript, CSS, HTML, Webflow","product building, automation, web development",BS Computer Science,"npm, Git",senior,Webflow Developer
"Webflow, JavaScript, HTML","product building, web development, automation",BS Software Engineering,"Postman, Git, Docker",junior,Webflow Developer
"CSS, JavaScript, HTML",automation,BS Computer Science,Docker,senior,Webflow Developer
"HTML, Webflow, JavaScript","web development, product building",BS Software Engineering,Postman,junior,Webflow Developer
"JavaScript, HTML, Webflow, CSS","product building, automation",BS Computer Science,"npm, VS Code",entry,Webflow Developer
"Next.js, REST API, React, GraphQL",automation,BS Computer Science,Postman,mid,Headless CMS Developer
"React, GraphQL, REST API, Next.js","web development, automation",BS Software Engineering,"Postman, npm",mid,Headless CMS Developer
"REST API, Next.js, GraphQL, React",product building,BS Software Engineering,"VS Code, Postman, npm",entry,Headless CMS Developer
"React, REST API",automation,BS Software Engineering,VS Code,junior,Headless CMS Developer
"Next.js, React",product building,BS Computer Science,"VS Code, Git, Docker",entry,Headless CMS Developer
"Next.js, React, GraphQL, REST API","web development, automation",BS Software Engineering,"npm, Docker, VS Code",junior,Headless CMS Developer
"React, Next.js, REST API, GraphQL","product building, automation, web development",BS Software Engineering,"VS Code, Postman",senior,Headless CMS Developer
"React, REST API","automation, product building, web development",BS Computer Science,Docker,mid,Headless CMS Developer
"GraphQL, REST API, Next.js, React","automation, product building, web development",BS Software Engineering,"npm, Postman, VS Code",mid,Headless CMS Developer
"Next.js, GraphQL, REST API",product building,BS Computer Science,Git,junior,Headless CMS Developer
"GraphQL, Next.js, Tailwind CSS","product building, web development, automation",BS Software Engineering,"Git, Docker",senior,Jamstack Developer
"GraphQL, Tailwind CSS","web development, product building, automation",BS Software Engineering,"VS Code, Git, npm",mid,Jamstack Developer
"Tailwind CSS, Next.js","automation, product building, web development",BS Computer Science,"npm, Docker",entry,Jamstack Developer
"React, GraphQL","web development, product building, automation",BS Software Engineering,"Postman, VS Code",junior,Jamstack Developer
"GraphQL, Next.js","product building, web development",BS Computer Science,VS Code,entry,Jamstack Developer
"GraphQL, React, Tailwind CSS, Next.js","product building, web development, automation",BS Computer Science,"Docker, npm, VS Code",senior,Jamstack Developer
"GraphQL, Next.js",automation,BS Software Engineering,"VS Code, Postman",junior,Jamstack Developer
"Tailwind CSS, GraphQL, Next.js, React","product building, automation, web development",BS Computer Science,VS Code,senior,Jamstack Developer
"Tailwind CSS, React","automation, product building, web development",BS Software Engineering,"Postman, npm, Docker",entry,Jamstack Developer
"React, Tailwind CSS, Next.js",web development,BS Computer Science,"Git, Docker, VS Code",junior,Jamstack Developer
"Firebase, REST API, Android",product building,BS Computer Science,Firebase,mid,Android Developer
"Kotlin, Firebase, REST API",user experience,BS Computer Science,"Android Studio, Firebase, Xcode",senior,Android Developer
"REST API, Firebase, Java, Kotlin","product building, mobile apps",BS Computer Science,"Git, Xcode, Firebase",entry,Android Developer
"Firebase, Kotlin, Java, Android","mobile apps, user experience, product building",BS Software Engineering,"Git, Android Studio",junior,Android Developer
"Java, Firebase, Android, REST API, Kotlin","mobile apps, user experience, product building",BS Computer Science,"Android Studio, Git, Xcode",entry,Android Developer
"Firebase, REST API, Android, Kotlin, Java",product building,BS Software Engineering,Firebase,junior,Android Developer
"Java, Firebase, Android","mobile apps, product building",BS Computer Science,"Git, Xcode, Android Studio",entry,Android Developer
"Kotlin, Android, Firebase, REST API","product building, user experience, mobile apps",BS Software Engineering,Android Studio,entry,Android Developer
"Firebase, Kotlin, REST API, Java","user experience, product building",BS Software Engineering,"Android Studio, Xcode, Firebase",mid,Android Developer
"Java, Kotlin, Firebase, REST API",product building,BS Software Engineering,"Xcode, Git",mid,Android Developer
"REST API, iOS, Firebase","mobile apps, product building, user experience",BS Software Engineering,Android Studio,mid,iOS Developer
"Swift, REST API, Firebase, iOS","product building, mobile apps, user experience",BS Computer Science,Xcode,senior,iOS Developer
"iOS, Firebase, REST API, Swift","product building, user experience, mobile apps",BS Software Engineering,"Git, Android Studio, Xcode",entry,iOS Developer
"iOS, REST API, Swift, Firebase","mobile apps, product building",BS Computer Science,"Firebase, Android Studio, Git",junior,iOS Developer
"iOS, Swift, Firebase","mobile apps, product building",BS Computer Science,"Xcode, Android Studio, Firebase",senior,iOS Developer
"Swift, REST API","mobile apps, user experience",BS Software Engineering,"Android Studio, Firebase, Xcode",mid,iOS Developer
"Swift, REST API, iOS, Firebase",product building,BS Software Engineering,"Xcode, Android Studio",senior,iOS Developer
"Swift, REST API, Firebase, iOS",mobile apps,BS Computer Science,"Xcode, Git, Firebase",junior,iOS Developer
"REST API, Firebase","mobile apps, product building, user experience",BS Software Engineering,"Git, Android Studio, Xcode",senior,iOS Developer
"iOS, REST API","mobile apps, product building",BS Computer Science,Android Studio,junior,iOS Developer
"Dart, Flutter, REST API, Firebase",product building,BS Software Engineering,"Git, Xcode, Android Studio",entry,Flutter Developer
"Firebase, REST API","user experience, mobile apps",BS Computer Science,"Android Studio, Xcode",junior,Flutter Developer
"REST API, Flutter, Dart, Firebase","product building, mobile apps, user experience",BS Software Engineering,"Android Studio, Git",entry,Flutter Developer
"Firebase, Flutter","mobile apps, product building, user experience",BS Computer Science,"Git, Firebase, Android Studio",junior,Flutter Developer
"Flutter, REST API, Dart, Firebase","mobile apps, user experience",BS Computer Science,"Firebase, Android Studio",entry,Flutter Developer
"Dart, Firebase, REST API",mobile apps,BS Software Engineering,"Firebase, Android Studio, Git",entry,Flutter Developer
"Flutter, REST API, Firebase, Dart","product building, mobile apps",BS Software Engineering,"Xcode, Git",junior,Flutter Developer
"REST API, Dart, Firebase","user experience, product building, mobile apps",BS Computer Science,"Firebase, Git",mid,Flutter Developer
"Firebase, Dart, REST API, Flutter","user experience, mobile apps, product building",BS Computer Science,"Android Studio, Git",junior,Flutter Developer
"Firebase, Dart, Flutter, REST API","product building, mobile apps",BS Computer Science,Firebase,senior,Flutter Developer
"React, REST API, React Native","mobile apps, user experience, product building",BS Software Engineering,"Git, Firebase, Android Studio",senior,React Native Developer
"React, JavaScript","user experience, mobile apps, product building",BS Computer Science,"Android Studio, Xcode, Git",mid,React Native Developer
"React Native, REST API",user experience,BS Software Engineering,"Firebase, Android Studio",junior,React Native Developer
"React Native, JavaScript, REST API, React","user experience, product building, mobile apps",BS Software Engineering,Android Studio,senior,React Native Developer
"React Native, React, REST API","product building, mobile apps",BS Computer Science,"Xcode, Android Studio, Git",mid,React Native Developer
"JavaScript, REST API, React, React Native","user experience, mobile apps, product building",BS Software Engineering,"Firebase, Xcode, Git",senior,React Native Developer
"JavaScript, React Native","product building, mobile apps",BS Computer Science,"Firebase, Android Studio",entry,React Native Developer
"JavaScript, React Native, React, REST API","product building, user experience",BS Computer Science,"Android Studio, Firebase, Xcode",mid,React Native Developer
"JavaScript, React Native","product building, mobile apps, user experience",BS Computer Science,Android Studio,mid,React Native Developer
"React, React Native",product building,BS Software Engineering,Git,entry,React Native Developer
"REST API, Kotlin, Android","user experience, product building",BS Software Engineering,"Xcode, Android Studio, Git",mid,Kotlin Developer
"Kotlin, REST API, Android","user experience, product building, mobile apps",BS Software Engineering,"Android Studio, Firebase",entry,Kotlin Developer
"Android, Kotlin, REST API","mobile apps, user experience, product building",BS Software Engineering,"Xcode, Git",mid,Kotlin Developer
"Android, REST API","user experience, product building, mobile apps",BS Software Engineering,"Android Studio, Firebase",mid,Kotlin Developer
"Android, REST API, Kotlin",product building,BS Computer Science,"Android Studio, Git, Firebase",junior,Kotlin Developer
"Android, Kotlin, REST API","mobile apps, user experience, product building",BS Computer Science,"Firebase, Git",mid,Kotlin Developer
"Android, REST API, Kotlin","mobile apps, product building",BS Computer Science,Xcode,senior,Kotlin Developer
"Android, REST API","user experience, product building",BS Software Engineering,"Git, Android Studio",entry,Kotlin Developer
"REST API, Kotlin, Android","user experience, product building",BS Software Engineering,"Firebase, Git, Android Studio",mid,Kotlin Developer
"REST API, Kotlin, Android","user experience, product building, mobile apps",BS Computer Science,Android Studio,mid,Kotlin Developer
"REST API, iOS, Swift","product building, user experience, mobile apps",BS Software Engineering,"Firebase, Android Studio",junior,Swift Developer
"Swift, REST API","mobile apps, user experience, product building",BS Computer Science,Firebase,entry,Swift Developer
"Swift, iOS","mobile apps, product building, user experience",BS Computer Science,Xcode,junior,Swift Developer
"REST API, iOS","mobile apps, product building",BS Software Engineering,"Android Studio, Git",junior,Swift Developer
"Swift, iOS","user experience, product building",BS Software Engineering,"Firebase, Git, Xcode",senior,Swift Developer
"REST API, iOS, Swift","product building, mobile apps",BS Computer Science,"Xcode, Android Studio",senior,Swift Developer
"Swift, iOS, REST API",product building,BS Computer Science,"Xcode, Android Studio",entry,Swift Developer
"iOS, REST API, Swift","user experience, mobile apps",BS Computer Science,"Xcode, Git, Android Studio",senior,Swift Developer
"Swift, REST API, iOS","mobile apps, user experience",BS Computer Science,"Android Studio, Xcode",mid,Swift Developer
"REST API, iOS, Swift",mobile apps,BS Computer Science,Xcode,entry,Swift Developer
"REST API, Firebase, React Native",user experience,BS Computer Science,Git,entry,Mobile App Developer
"Flutter, React Native","mobile apps, user experience",BS Computer Science,Git,junior,Mobile App Developer
"Firebase, Flutter","user experience, product building",BS Software Engineering,"Firebase, Xcode",entry,Mobile App Developer
"Flutter, Firebase, REST API","user experience, mobile apps",BS Software Engineering,Android Studio,mid,Mobile App Developer
"Flutter, Firebase, REST API","user experience, mobile apps",BS Computer Science,Firebase,entry,Mobile App Developer
"React Native, Firebase, REST API, Flutter","mobile apps, product building",BS Computer Science,"Firebase, Xcode",mid,Mobile App Developer
"REST API, Flutter","mobile apps, product building, user experience",BS Software Engineering,"Git, Firebase",mid,Mobile App Developer
"Flutter, React Native, Firebase, REST API",product building,BS Software Engineering,"Android Studio, Firebase, Git",junior,Mobile App Developer
"Firebase, Flutter","product building, user experience, mobile apps",BS Computer Science,"Android Studio, Xcode",entry,Mobile App Developer
"Firebase, Flutter","product building, user experience",BS Software Engineering,"Android Studio, Git, Firebase",mid,Mobile App Developer
"REST API, TypeScript","product building, user experience",BS Software Engineering,Android Studio,mid,Ionic Developer
"REST API, Angular, Ionic",product building,BS Computer Science,"Xcode, Android Studio",mid,Ionic Developer
"Ionic, TypeScript, Angular","mobile apps, product building, user experience",BS Computer Science,"Git, Xcode",senior,Ionic Developer
"REST API, TypeScript",product building,BS Software Engineering,"Firebase, Xcode",mid,Ionic Developer
"Ionic, TypeScript","mobile apps, product building, user experience",BS Computer Science,Android Studio,entry,Ionic Developer
"Angular, Ionic, TypeScript","product building, user experience, mobile apps",BS Software Engineering,Xcode,junior,Ionic Developer
"Ionic, REST API, TypeScript, Angular",user experience,BS Computer Science,"Firebase, Android Studio",entry,Ionic Developer
"TypeScript, REST API, Ionic, Angular","mobile apps, product building",BS Computer Science,Android Studio,senior,Ionic Developer
"Angular, TypeScript","mobile apps, product building, user experience",BS Computer Science,"Xcode, Firebase, Android Studio",senior,Ionic Developer
"Angular, Ionic","user experience, product building, mobile apps",BS Software Engineering,"Xcode, Firebase",mid,Ionic Developer
"problem solving, C++, Unity, C#","product building, mobile apps, user experience",BS Software Engineering,"Firebase, Android Studio",senior,Game Developer
"C#, Unity","mobile apps, product building, user experience",BS Computer Science,"Android Studio, Git",mid,Game Developer
"C++, problem solving","product building, mobile apps, user experience",BS Computer Science,"Xcode, Git",junior,Game Developer
"C++, problem solving, C#",user experience,BS Software Engineering,Firebase,junior,Game Developer
"C#, C++, Unity, problem solving",user experience,BS Computer Science,"Xcode, Git, Android Studio",entry,Game Developer
"C++, Unity","user experience, mobile apps",BS Computer Science,"Git, Xcode, Android Studio",entry,Game Developer
"C#, Unity, problem solving","product building, mobile apps",BS Computer Science,Firebase,senior,Game Developer
"C#, problem solving, Unity, C++","mobile apps, product building",BS Software Engineering,Firebase,entry,Game Developer
"problem solving, Unity, C#, C++","user experience, mobile apps, product building",BS Software Engineering,"Android Studio, Firebase, Xcode",junior,Game Developer
"Unity, C#, C++, problem solving","user experience, mobile apps",BS Computer Science,"Firebase, Android Studio, Xcode",mid,Game Developer
"Unity, C#, 3D","product building, user experience",BS Computer Science,"Git, Firebase",junior,AR/VR Developer
"computer vision basics, Unity, 3D, C#","mobile apps, product building, user experience",BS Software Engineering,Xcode,entry,AR/VR Developer
"3D, C#, Unity","mobile apps, product building",BS Computer Science,"Xcode, Firebase, Android Studio",junior,AR/VR Developer
"Unity, C#, 3D, computer vision basics",mobile apps,BS Software Engineering,Xcode,entry,AR/VR Developer
"Unity, 3D, C#","user experience, product building, mobile apps",BS Computer Science,"Firebase, Git",senior,AR/VR Developer
"Unity, C#, computer vision basics, 3D",mobile apps,BS Software Engineering,"Git, Firebase, Xcode",mid,AR/VR Developer
"3D, C#, Unity",user experience,BS Software Engineering,"Xcode, Git",mid,AR/VR Developer
"computer vision basics, C#",product building,BS Software Engineering,Android Studio,mid,AR/VR Developer
"C#, Unity, 3D","product building, mobile apps, user experience",BS Computer Science,"Android Studio, Firebase, Xcode",mid,AR/VR Developer
"C#, Unity, computer vision basics","product building, mobile apps, user experience",BS Software Engineering,"Android Studio, Firebase, Git",junior,AR/VR Developer
"Statistics, SQL, Tableau, Excel, Power BI","data analysis, statistics, business insights",BS Statistics,"Power BI, Excel",junior,Data Analyst
"SQL, Excel, Statistics",business insights,BS Computer Science,"Tableau, SQL",junior,Data Analyst
"SQL, Power BI, Statistics","statistics, data analysis, business insights",BS Computer Science,"Excel, SQL, Power BI",senior,Data Analyst
"Excel, Statistics, SQL, Power BI",statistics,BS Data Science,"Power BI, SQL",junior,Data Analyst
"SQL, Excel, Tableau","statistics, business insights, data analysis",BS Data Science,"Power BI, Jupyter",senior,Data Analyst
"Power BI, Tableau, Statistics, SQL, Excel","statistics, data analysis",BS Data Science,"Tableau, Power BI, Excel",entry,Data Analyst
"Tableau, SQL, Statistics, Excel, Power BI","statistics, business insights",BS Statistics,Power BI,mid,Data Analyst
"SQL, Excel, Tableau, Power BI, Statistics","business insights, data analysis, statistics",BS Computer Science,"Tableau, SQL, Power BI",senior,Data Analyst
"Tableau, SQL, Statistics, Excel","business insights, data analysis, statistics",BS Data Science,"Excel, SQL",entry,Data Analyst
"SQL, Tableau, Power BI","data analysis, statistics",BS Computer Science,"Tableau, SQL, Power BI",senior,Data Analyst
"Statistics, Pandas, Python, Machine Learning",business insights,BS Data Science,"Excel, Tableau",senior,Data Scientist
"Pandas, Python, SQL, Machine Learning",business insights,BS Statistics,Power BI,senior,Data Scientist
"Statistics, Python, Machine Learning, Pandas",data analysis,BS Computer Science,"Power BI, Tableau, SQL",senior,Data Scientist
"Statistics, Python, SQL","statistics, data analysis, business insights",BS Data Science,Jupyter,mid,Data Scientist
"Pandas, Python, Machine Learning","business insights, statistics, data analysis",BS Data Science,Jupyter,senior,Data Scientist
"Pandas, Machine Learning, SQL","business insights, data analysis, statistics",BS Computer Science,"Excel, Jupyter, Power BI",mid,Data Scientist
"Machine Learning, SQL, Python, Pandas","data analysis, statistics, business insights",BS Data Science,Excel,mid,Data Scientist
"SQL, Pandas, Machine Learning, Python, Statistics",business insights,BS Computer Science,"Tableau, Jupyter, SQL",mid,Data Scientist
"Statistics, Machine Learning, Pandas, SQL",business insights,BS Computer Science,"Tableau, Power BI",senior,Data Scientist
"Statistics, Pandas, Machine Learning","data analysis, business insights",BS Data Science,Power BI,entry,Data Scientist
"Airflow, Python, SQL, Apache Spark","business insights, data analysis, statistics",BS Computer Science,Excel,mid,Data Engineer
"Apache Spark, dbt, Airflow","statistics, data analysis, business insights",BS Computer Science,"Excel, Power BI",entry,Data Engineer
"SQL, Apache Spark, dbt","statistics, business insights, data analysis",BS Computer Science,Power BI,junior,Data Engineer
"Airflow, Apache Spark, SQL, dbt, Python","statistics, business insights, data analysis",BS Data Science,"Excel, Tableau, Jupyter",junior,Data Engineer
"Python, Apache Spark, SQL, dbt","business insights, statistics, data analysis",BS Computer Science,Excel,mid,Data Engineer
"Python, Apache Spark, SQL, dbt, Airflow",statistics,BS Statistics,"SQL, Excel",junior,Data Engineer
"Apache Spark, Python, Airflow",statistics,BS Computer Science,Power BI,junior,Data Engineer
"Apache Spark, Airflow, dbt","statistics, business insights, data analysis",BS Data Science,"SQL, Tableau, Excel",entry,Data Engineer
"Airflow, Python, dbt, SQL",business insights,BS Computer Science,Excel,senior,Data Engineer
"Python, Apache Spark, dbt","statistics, data analysis, business insights",BS Data Science,Excel,mid,Data Engineer
"Power BI, SQL, Excel",statistics,BS Data Science,Tableau,entry,Business Intelligence Analyst
"Tableau, Excel","statistics, data analysis",BS Computer Science,"Tableau, SQL",junior,Business Intelligence Analyst
"Tableau, Excel","business insights, statistics",BS Data Science,Jupyter,senior,Business Intelligence Analyst
"Power BI, Excel, SQL, Tableau",statistics,BS Statistics,Tableau,senior,Business Intelligence Analyst
"Tableau, SQL, Excel, Power BI","business insights, data analysis, statistics",BS Computer Science,Jupyter,senior,Business Intelligence Analyst
"Excel, SQL","business insights, statistics, data analysis",BS Data Science,SQL,mid,Business Intelligence Analyst
"Excel, Power BI, SQL","statistics, business insights",BS Data Science,Power BI,entry,Business Intelligence Analyst
"Excel, SQL, Power BI","statistics, data analysis",BS Computer Science,Power BI,entry,Business Intelligence Analyst
"Power BI, SQL, Tableau","business insights, statistics",BS Data Science,"SQL, Tableau, Power BI",senior,Business Intelligence Analyst
"Tableau, Power BI","business insights, statistics, data analysis",BS Computer Science,"Tableau, SQL",junior,Business Intelligence Analyst
"dbt, Power BI, SQL, data modeling","data analysis, statistics, business insights",BS Statistics,"Jupyter, Tableau",senior,BI Developer
"dbt, data modeling, Power BI",data analysis,BS Data Science,"Jupyter, SQL, Excel",junior,BI Developer
"data modeling, SQL, dbt",data analysis,BS Computer Science,"Excel, Tableau",senior,BI Developer
"data modeling, Power BI, dbt, SQL",statistics,BS Data Science,"Tableau, Jupyter",entry,BI Developer
"data modeling, Power BI, SQL, dbt",statistics,BS Computer Science,"Power BI, Excel, Tableau",senior,BI Developer
"dbt, SQL, Power BI","data analysis, statistics, business insights",BS Data Science,"Power BI, Excel, SQL",junior,BI Developer
"SQL, Power BI, data modeling",business insights,BS Data Science,Power BI,senior,BI Developer
"Power BI, dbt","statistics, business insights, data analysis",BS Computer Science,Power BI,senior,BI Developer
"dbt, SQL, data modeling, Power BI",statistics,BS Computer Science,Tableau,senior,BI Developer
"SQL, data modeling, dbt, Power BI","business insights, statistics, data analysis",BS Data Science,"Power BI, Excel, Jupyter",senior,BI Developer
"Python, SQL, dbt, data modeling",statistics,BS Computer Science,"Jupyter, Excel, Power BI",entry,Analytics Engineer
"dbt, SQL, Python","statistics, business insights, data analysis",BS Statistics,"Excel, SQL",entry,Analytics Engineer
"Python, data modeling, SQL, dbt","statistics, data analysis, business insights",BS Computer Science,"Tableau, Jupyter",mid,Analytics Engineer
"dbt, data modeling, Python","statistics, data analysis",BS Computer Science,"Excel, Tableau",entry,Analytics Engineer
"dbt, Python, data modeling, SQL","statistics, business insights, data analysis",BS Statistics,"SQL, Power BI, Jupyter",entry,Analytics Engineer
"dbt, data modeling, Python","statistics, business insights",BS Data Science,"Power BI, SQL, Jupyter",mid,Analytics Engineer
"Python, dbt",data analysis,BS Statistics,"Power BI, Excel",senior,Analytics Engineer
"SQL, data modeling, Python, dbt","data analysis, statistics",BS Data Science,"Power BI, Tableau",mid,Analytics Engineer
"dbt, data modeling, SQL, Python","business insights, statistics, data analysis",BS Statistics,"Jupyter, Excel",senior,Analytics Engineer
"SQL, Python, dbt","statistics, data analysis, business insights",BS Computer Science,Jupyter,entry,Analytics Engineer
"Apache Spark, Python","statistics, data analysis",BS Computer Science,"Excel, SQL",entry,Big Data Engineer
"Apache Spark, SQL","business insights, data analysis, statistics",BS Computer Science,Jupyter,junior,Big Data Engineer
"Hadoop, Apache Spark, Python","statistics, business insights",BS Computer Science,Power BI,mid,Big Data Engineer
"Python, Hadoop, Apache Spark",statistics,BS Data Science,"Power BI, Excel",entry,Big Data Engineer
"Python, Apache Spark, Hadoop",statistics,BS Data Science,"Power BI, SQL, Excel",senior,Big Data Engineer
"Hadoop, Python","data analysis, business insights",BS Statistics,"Excel, Jupyter, Power BI",entry,Big Data Engineer
"Python, Hadoop",statistics,BS Data Science,"Jupyter, Tableau, Excel",senior,Big Data Engineer
